change_id,customer_id,field_changed,old_value,new_value,changed_by_employee_id,timestamp
CHG_000024,80A0585D0,email,christopher60@example.com,gibsonemily@example.net,EMP_0125,2022-09-02 22:04:42
CHG_000488,80FF589E0,spending_limit,37044,22228,EMP_0002,2022-09-02 22:26:43
CHG_000184,80C002F20,address,"145 Jeffrey Dale Suite 279, Robertside, PW 62213","91878 Miller Port, North Mariahaven, ID 75566",EMP_0134,2022-09-03 00:04:26
CHG_000110,80811F3E0,address,"242 Marcus Station, West Stacey, NC 37731","84249 Wayne Extension Apt. 299, Meganshire, AZ 04219",EMP_0173,2022-09-03 00:16:07
CHG_000192,811D09920,risk_rating,high,low,EMP_0169,2022-09-03 00:35:13
CHG_000082,80F49A270,email,lmoore@example.net,jenniferwilliams@example.com,EMP_0132,2022-09-03 00:41:46
CHG_000450,80EF13770,email,zdaniels@example.org,jeffrey35@example.com,EMP_0188,2022-09-03 02:24:21
CHG_000381,810193480,risk_rating,high,medium,EMP_0179,2022-09-03 05:11:35
CHG_000415,8094FBAB0,beneficial_owner,machine,life,EMP_0139,2022-09-03 05:45:46
CHG_000472,806110AF0,phone,+1-364-452-5777x5478,+1-891-542-8341x1080,EMP_0121,2022-09-03 06:53:40
CHG_000059,809639E80,tax_id,continue,carry,EMP_0035,2022-09-03 08:22:38
CHG_000418,812F7F870,spending_limit,9863,29184,EMP_0198,2022-09-03 11:13:19
CHG_000249,803042E00,name,authority,tell,EMP_0190,2022-09-03 13:00:56
CHG_000297,806A47240,name,call,actually,EMP_0005,2022-09-03 14:04:36
CHG_000130,80E6DB5B0,wire_transfer_limit,44215,21032,EMP_0150,2022-09-03 14:10:37
CHG_000105,80F8B7290,risk_rating,high,low,EMP_0176,2022-09-03 14:43:54
CHG_000317,80E528170,account_type,major,evidence,EMP_0153,2022-09-03 15:14:12
CHG_000328,8016D8110,wire_transfer_limit,37341,11508,EMP_0136,2022-09-03 15:15:01
CHG_090012,800059C00,spending_limit,25000,150000,EMP_0029,2022-09-03 15:16:12
CHG_000115,800A52F40,risk_rating,medium,high,EMP_0122,2022-09-03 15:46:47
CHG_000160,8031B7E50,name,behind,reach,EMP_0048,2022-09-03 16:12:06
CHG_000131,8140F94A1,wire_transfer_limit,24887,21731,EMP_0110,2022-09-03 20:48:17
CHG_000387,8100381E0,wire_transfer_limit,43952,2586,EMP_0079,2022-09-03 21:03:22
CHG_000055,80E649670,email,reeddaniel@example.net,trose@example.org,EMP_0149,2022-09-03 22:50:57
CHG_000337,800E84250,phone,578.542.7010,4877059325,EMP_0034,2022-09-04 00:53:04
CHG_000455,8035A9A50,email,pricedavid@example.org,avilabrenda@example.net,EMP_0038,2022-09-04 00:58:39
CHG_090013,80005AB30,risk_rating,medium,low,EMP_0033,2022-09-04 01:41:55
CHG_000457,805FA2BB1,account_type,smile,site,EMP_0161,2022-09-04 01:43:26
CHG_000022,80E1CA820,wire_transfer_limit,32632,38286,EMP_0113,2022-09-04 01:57:15
CHG_000123,80403FE40,tax_id,effect,dinner,EMP_0030,2022-09-04 01:59:38
CHG_000305,80B46ACD0,phone,941-695-1802x38061,001-945-718-7053x49493,EMP_0121,2022-09-04 02:05:39
CHG_000170,81114A0A0,wire_transfer_limit,10352,39184,EMP_0197,2022-09-04 02:12:31
CHG_000294,803E2FA50,spending_limit,18617,28060,EMP_0018,2022-09-04 02:25:19
CHG_000268,808930C40,account_type,century,day,EMP_0043,2022-09-04 03:01:32
CHG_000326,803ECA7F0,account_type,sell,her,EMP_0146,2022-09-04 04:08:37
CHG_000081,80E337F70,email,megan18@example.net,stanleynancy@example.net,EMP_0020,2022-09-04 04:17:11
CHG_000242,80CB9DD70,beneficial_owner,technology,stock,EMP_0067,2022-09-04 04:21:29
CHG_000049,80CAFC320,risk_rating,low,medium,EMP_0051,2022-09-04 04:31:03
CHG_000423,803247FE0,tax_id,wonder,together,EMP_0200,2022-09-04 04:40:36
CHG_000289,80B61DB00,wire_transfer_limit,16152,1473,EMP_0096,2022-09-04 04:56:13
CHG_000100,80623C860,address,"8416 Ryan View Apt. 845, North Markport, ME 58948","75705 Hill Turnpike Apt. 165, North Douglas, PA 89379",EMP_0167,2022-09-04 06:32:42
CHG_000429,802D76360,risk_rating,medium,medium,EMP_0042,2022-09-04 06:51:00
CHG_000382,809FA9220,email,epowell@example.com,johnsonjames@example.com,EMP_0144,2022-09-04 08:49:41
CHG_000308,80F57C620,risk_rating,medium,low,EMP_0009,2022-09-04 09:15:55
CHG_000227,80A599E60,name,seek,step,EMP_0189,2022-09-04 09:27:50
CHG_000389,800EE2180,account_type,energy,draw,EMP_0060,2022-09-04 09:28:17
CHG_000486,8003F7BD0,name,animal,care,EMP_0164,2022-09-04 10:05:03
CHG_000173,8023ED8B0,risk_rating,medium,low,EMP_0005,2022-09-04 10:33:29
CHG_000077,80F79F010,spending_limit,4525,1849,EMP_0065,2022-09-04 10:51:34
CHG_000072,80E5E0320,address,"4665 Kristina Rue Suite 151, Mitchellberg, MA 11183","4629 Kyle Lane, Lisahaven, CO 85176",EMP_0076,2022-09-04 11:13:56
CHG_000185,807C50360,address,"39718 Stokes Motorway Apt. 867, New Stevenport, VA 03354","391 Rodney Squares, New Virginialand, NJ 04660",EMP_0168,2022-09-04 11:48:38
CHG_000228,81231FBC0,name,protect,class,EMP_0068,2022-09-04 12:21:56
CHG_000102,80D079290,address,"6909 Erika Land Suite 719, New Michael, MD 85640","27868 Jose Green, Lewisport, UT 64883",EMP_0017,2022-09-04 13:59:55
CHG_000168,813CC2C01,tax_id,always,act,EMP_0022,2022-09-04 16:22:12
CHG_000092,80779AFC0,beneficial_owner,red,relate,EMP_0076,2022-09-04 17:07:32
CHG_000225,8068029D0,account_type,beautiful,executive,EMP_0091,2022-09-04 17:10:29
CHG_000341,80104C6F0,tax_id,front,computer,EMP_0094,2022-09-04 18:03:17
CHG_000375,80A6B6D10,wire_transfer_limit,10802,22419,EMP_0179,2022-09-04 18:05:06
CHG_000431,813DD91A1,tax_id,particular,consumer,EMP_0106,2022-09-04 18:48:07
CHG_000211,807328630,spending_limit,39203,23812,EMP_0071,2022-09-04 20:19:42
CHG_000372,812207D60,phone,894-346-6574x374,9853899441,EMP_0198,2022-09-04 20:30:02
CHG_000283,809FE17B0,beneficial_owner,rock,agreement,EMP_0139,2022-09-04 20:40:06
CHG_000264,80359FC90,risk_rating,low,low,EMP_0088,2022-09-04 21:06:46
CHG_000220,80E145DA0,risk_rating,high,low,EMP_0180,2022-09-04 21:48:41
CHG_000348,802184880,phone,3993861622,001-914-285-6467,EMP_0186,2022-09-04 22:15:19
CHG_000181,809E5AD90,tax_id,sometimes,data,EMP_0197,2022-09-04 22:51:54
CHG_000269,802959F80,address,"USCGC Ortiz, FPO AA 54978","2190 Kelly Harbor Apt. 842, Cunninghamfort, OH 67453",EMP_0187,2022-09-04 23:43:40
CHG_000314,81462CE41,name,north,help,EMP_0029,2022-09-05 00:16:26
CHG_000408,80CFE1960,beneficial_owner,body,keep,EMP_0078,2022-09-05 00:22:17
CHG_000332,81024DE80,beneficial_owner,expect,couple,EMP_0159,2022-09-05 01:25:29
CHG_000413,804B5A690,wire_transfer_limit,41994,45991,EMP_0107,2022-09-05 02:04:01
CHG_000222,80E9486A0,address,"180 Jason Ways Suite 401, Rachelshire, TN 04813","39261 Martin Garden Suite 856, Port Vanessa, VA 10780",EMP_0068,2022-09-05 05:17:20
CHG_000349,80AEA85F0,risk_rating,low,low,EMP_0169,2022-09-05 05:29:43
CHG_000215,810EC7D20,spending_limit,17888,36252,EMP_0148,2022-09-05 06:03:27
CHG_000071,805EF3560,email,toni18@example.net,benjaminzimmerman@example.com,EMP_0175,2022-09-05 06:13:44
CHG_000125,80DF886E0,tax_id,anything,apply,EMP_0018,2022-09-05 06:16:49
CHG_000219,809FFB470,address,"08484 Wayne Square Suite 211, East James, NC 33585","1567 Veronica Fork Suite 101, Grayside, NJ 07856",EMP_0030,2022-09-05 09:11:25
CHG_000380,80B618AF0,address,"Unit 5697 Box 2521, DPO AA 44099","0074 Kathleen Extension, South Kristen, WI 12040",EMP_0103,2022-09-05 11:07:25
CHG_000153,81161EBA0,spending_limit,42521,18923,EMP_0190,2022-09-05 11:25:58
CHG_000345,81125A3E0,address,"01533 Terry Stravenue Suite 443, North Philipside, MP 64850","61497 Collin Ford Apt. 417, West Kristenfort, NM 87144",EMP_0158,2022-09-05 12:27:10
CHG_000400,8080D8570,phone,321.481.1437x4470,4454561100,EMP_0170,2022-09-05 14:41:40
CHG_000500,80EC3FEB0,beneficial_owner,two,animal,EMP_0009,2022-09-05 14:46:15
CHG_000463,805125E70,wire_transfer_limit,40328,1430,EMP_0141,2022-09-05 17:28:12
CHG_000245,80790E150,risk_rating,high,medium,EMP_0103,2022-09-05 18:05:19
CHG_000298,8145D6080,spending_limit,2450,13185,EMP_0027,2022-09-05 19:06:09
CHG_000398,803864B70,spending_limit,3849,17741,EMP_0016,2022-09-05 19:52:39
CHG_000261,807E4A3D0,phone,485.696.9691x5579,+1-891-825-1341x252,EMP_0158,2022-09-05 20:54:05
CHG_000378,8049926C0,phone,001-925-313-5346x55494,809.299.1738x1684,EMP_0111,2022-09-05 22:13:53
CHG_000080,8142F8C71,wire_transfer_limit,13875,48507,EMP_0050,2022-09-06 00:01:28
CHG_000003,80EA2DA50,beneficial_owner,course,pay,EMP_0105,2022-09-06 00:30:11
CHG_000494,811630BD0,address,"2369 Laura View Apt. 984, Lake Gina, NH 78689","6210 Alexandra Parkways, Serranoville, HI 62874",EMP_0134,2022-09-06 02:07:56
CHG_000251,8068A3010,spending_limit,35995,48222,EMP_0125,2022-09-06 02:24:50
CHG_000087,80CCA5260,wire_transfer_limit,4332,41984,EMP_0170,2022-09-06 02:52:16
CHG_000113,810614BF0,spending_limit,7955,19994,EMP_0176,2022-09-06 02:57:03
CHG_000120,813CA8220,risk_rating,high,high,EMP_0022,2022-09-06 04:18:50
CHG_000487,805441E00,tax_id,painting,person,EMP_0018,2022-09-06 05:34:16
CHG_000499,8026B3760,risk_rating,low,high,EMP_0193,2022-09-06 05:46:43
CHG_000417,811F9A5E0,name,international,itself,EMP_0036,2022-09-06 06:04:16
CHG_000275,80D9E8AC0,phone,515-920-6436x110,329-838-7005,EMP_0100,2022-09-06 06:13:23
CHG_000456,808B18F30,address,"4914 James View, South Ericbury, DC 98379","245 Angela Point Apt. 100, Medinaland, ME 28033",EMP_0079,2022-09-06 06:17:00
CHG_000301,80714C310,name,spend,we,EMP_0108,2022-09-06 07:07:23
CHG_000076,814048C71,risk_rating,medium,medium,EMP_0176,2022-09-06 07:33:46
CHG_000012,810AE2970,beneficial_owner,imagine,record,EMP_0174,2022-09-06 07:35:04
CHG_000233,807B0FC30,account_type,law,team,EMP_0159,2022-09-06 08:41:24
CHG_000321,80A1E0F50,email,aguilarjonathan@example.org,osbornjames@example.net,EMP_0060,2022-09-06 09:13:47
CHG_000088,8018204F0,wire_transfer_limit,37055,24467,EMP_0182,2022-09-06 09:41:11
CHG_000374,80AE10FC0,tax_id,push,garden,EMP_0011,2022-09-06 10:16:52
CHG_000386,80736E5C0,risk_rating,medium,medium,EMP_0049,2022-09-06 10:51:40
CHG_000152,800D43A90,address,"497 Susan Harbors Suite 344, Lake Janet, MD 63389","1986 Cardenas Trail Apt. 404, West Sandraview, WA 63294",EMP_0167,2022-09-06 12:13:15
CHG_090001,800056370,spending_limit,10000,100000,EMP_0011,2022-09-06 14:12:46
CHG_000254,8095375C0,phone,412-438-2825x86736,+1-666-309-3796x6033,EMP_0191,2022-09-06 16:32:23
CHG_000497,805CDA130,email,davisdonna@example.net,princekimberly@example.net,EMP_0008,2022-09-06 18:22:27
CHG_000171,80F1084B0,spending_limit,18335,11991,EMP_0176,2022-09-06 19:48:35
CHG_000094,8025F9120,address,"USS Myers, FPO AA 06207","0515 Jessica Road Apt. 952, West Amyburgh, MP 90243",EMP_0172,2022-09-06 21:10:15
CHG_000156,80AB63160,name,or,safe,EMP_0104,2022-09-06 23:58:56
CHG_000046,80010C060,name,health,TV,EMP_0088,2022-09-07 00:53:48
CHG_000319,8013E5FB0,wire_transfer_limit,23178,41968,EMP_0016,2022-09-07 01:03:04
CHG_000278,800BBD220,address,"218 Chelsey Expressway, Bellborough, SC 98578","731 Donald Crossing Suite 565, East Joshua, CO 33028",EMP_0170,2022-09-07 01:35:28
CHG_000112,811ABFBA0,wire_transfer_limit,3982,46933,EMP_0019,2022-09-07 01:56:29
CHG_000323,80E56F9F0,address,"PSC 5107, Box 0296, APO AP 52274","625 Rebekah Harbor Suite 720, Lake Kenneth, MT 72680",EMP_0097,2022-09-07 02:07:56
CHG_000134,80997F8D0,account_type,everything,short,EMP_0115,2022-09-07 02:21:59
CHG_000426,80E4D0390,wire_transfer_limit,16216,16133,EMP_0007,2022-09-07 02:34:43
CHG_000044,80EE85CD0,account_type,girl,religious,EMP_0169,2022-09-07 04:13:27
CHG_000041,813DE60E1,account_type,seem,garden,EMP_0088,2022-09-07 04:14:37
CHG_000284,8092927E0,phone,+1-543-989-8364x03761,+1-491-980-5526x9658,EMP_0079,2022-09-07 05:14:22
CHG_000141,81020A870,spending_limit,31939,43854,EMP_0039,2022-09-07 05:15:14
CHG_090006,800057D40,account_type,personal,business,EMP_0020,2022-09-07 05:28:01
CHG_000365,802DC94C0,email,mercedesholland@example.net,josephortiz@example.org,EMP_0068,2022-09-07 05:46:11
CHG_000149,8014D45A0,name,thought,husband,EMP_0068,2022-09-07 06:43:46
CHG_000199,80570D870,phone,517-551-8304x69901,535.740.3317x3936,EMP_0057,2022-09-07 07:18:02
CHG_000047,80B5EEF30,tax_id,reduce,yeah,EMP_0134,2022-09-07 08:32:50
CHG_000428,80ECEF920,account_type,little,lot,EMP_0167,2022-09-07 08:34:31
CHG_000155,80AB7E860,wire_transfer_limit,43817,6101,EMP_0065,2022-09-07 09:32:31
CHG_000154,807CD4050,spending_limit,38366,12393,EMP_0168,2022-09-07 10:26:07
CHG_000034,80B6E0A70,name,stop,goal,EMP_0165,2022-09-07 10:29:02
CHG_000453,807D80E70,spending_limit,41112,11479,EMP_0141,2022-09-07 11:17:15
CHG_000179,8106F9FB0,risk_rating,low,medium,EMP_0197,2022-09-07 11:32:40
CHG_000096,80E330AB0,wire_transfer_limit,16979,3613,EMP_0083,2022-09-07 11:36:00
CHG_000412,801D03210,email,smithsarah@example.net,kchristian@example.org,EMP_0187,2022-09-07 11:56:25
CHG_000373,8102CCEC0,wire_transfer_limit,1749,42542,EMP_0162,2022-09-07 12:03:16
CHG_000452,80ADE12D0,phone,835-381-1288x0133,386.312.0750,EMP_0182,2022-09-07 12:42:27
CHG_000074,80D73C070,spending_limit,15700,49654,EMP_0144,2022-09-07 14:39:56
CHG_000116,802D1E340,name,collection,moment,EMP_0192,2022-09-07 15:31:29
CHG_000406,806E8E170,tax_id,road,today,EMP_0126,2022-09-07 16:30:25
CHG_090017,80005C050,tax_id,pending,verified,EMP_0040,2022-09-07 17:38:47
CHG_000271,8045AFF90,phone,001-685-780-7836x13407,471-433-9596,EMP_0043,2022-09-07 17:59:40
CHG_090016,80005BD00,tax_id,pending,verified,EMP_0040,2022-09-07 18:01:47
CHG_000017,8025AFB80,email,stephen43@example.com,yrodriguez@example.net,EMP_0103,2022-09-07 19:18:07
CHG_000194,8046FC600,phone,(218)625-1286x8230,386.286.3375x243,EMP_0131,2022-09-07 19:25:43
CHG_000090,80B45FAE0,spending_limit,11444,28258,EMP_0138,2022-09-07 20:35:38
CHG_000208,80DEE27D0,beneficial_owner,drug,hundred,EMP_0102,2022-09-07 21:25:26
CHG_000335,805DC2520,spending_limit,11101,41176,EMP_0083,2022-09-07 23:12:00
CHG_000256,80720A620,tax_id,successful,try,EMP_0006,2022-09-07 23:59:54
CHG_000038,8021FFD30,address,"177 Palmer Coves, Gordonton, VA 86864","007 Simmons Coves Suite 711, Charleneland, DC 36547",EMP_0104,2022-09-08 00:14:02
CHG_000473,806CFE720,tax_id,what,although,EMP_0135,2022-09-08 00:48:47
CHG_000161,80DC01210,wire_transfer_limit,48009,8754,EMP_0059,2022-09-08 01:09:44
CHG_090004,800056E00,beneficial_owner,John Smith,Shell Corp LLC,EMP_0015,2022-09-08 01:15:32
CHG_000371,80734C290,beneficial_owner,plant,suddenly,EMP_0112,2022-09-08 01:56:27
CHG_000057,81262CE90,wire_transfer_limit,22092,34037,EMP_0099,2022-09-08 02:48:54
CHG_000291,805703500,risk_rating,medium,low,EMP_0021,2022-09-08 04:16:25
CHG_000244,803CDAE00,wire_transfer_limit,23485,24981,EMP_0128,2022-09-08 04:58:07
CHG_000103,81205F130,name,decision,can,EMP_0176,2022-09-08 05:04:38
CHG_000180,80BF75B90,wire_transfer_limit,49587,46659,EMP_0026,2022-09-08 05:35:58
CHG_000352,80E9E4A30,account_type,foreign,security,EMP_0171,2022-09-08 06:14:47
CHG_000109,80D192830,risk_rating,medium,medium,EMP_0104,2022-09-08 08:40:27
CHG_000198,813549950,account_type,important,eight,EMP_0154,2022-09-08 09:38:02
CHG_000202,80D4F1D90,email,kyle58@example.com,ugarcia@example.com,EMP_0127,2022-09-08 11:06:02
CHG_000441,803ED0780,address,"98386 William Underpass Suite 066, Fryemouth, OH 07552","97359 Kimberly Fields Suite 721, East Jill, DE 49941",EMP_0075,2022-09-08 11:20:16
CHG_000158,80A680CC0,address,"08330 Robert Stravenue, Garciaberg, AL 72636","Unit 2677 Box 3454, DPO AP 08255",EMP_0036,2022-09-08 11:28:43
CHG_000462,8096826D0,account_type,arm,today,EMP_0105,2022-09-08 12:17:06
CHG_000276,80F5796D0,name,rule,cause,EMP_0073,2022-09-08 12:48:34
CHG_000035,801A19640,name,either,car,EMP_0118,2022-09-08 13:13:44
CHG_000099,80AAB7EA0,beneficial_owner,want,imagine,EMP_0131,2022-09-08 13:47:13
CHG_090002,800056660,wire_transfer_limit,0,500000,EMP_0012,2022-09-08 13:52:08
CHG_000260,8101E0CD0,account_type,build,everybody,EMP_0189,2022-09-08 14:20:50
CHG_000036,811D9B980,wire_transfer_limit,30366,6768,EMP_0128,2022-09-08 14:24:13
CHG_000359,80775BA70,tax_id,guy,common,EMP_0116,2022-09-08 14:34:47
CHG_000129,80694B5F0,name,remember,many,EMP_0125,2022-09-08 15:51:48
CHG_000446,808903EC0,spending_limit,9867,26760,EMP_0083,2022-09-08 15:57:41
CHG_000438,80ACCB460,address,"Unit 3465 Box 4722, DPO AA 79475","858 James Road Suite 522, Jenniferstad, OH 63464",EMP_0028,2022-09-08 16:15:24
CHG_000444,8099BC410,email,brandyscott@example.com,jmckinney@example.org,EMP_0166,2022-09-08 16:17:34
CHG_000295,80247BB70,tax_id,site,really,EMP_0164,2022-09-08 17:46:47
CHG_000009,80D64EC50,tax_id,worker,fund,EMP_0060,2022-09-08 18:21:16
CHG_000364,801F2E1A0,wire_transfer_limit,38461,11139,EMP_0010,2022-09-08 19:49:51
CHG_000442,810184CE0,tax_id,amount,later,EMP_0074,2022-09-08 20:13:46
CHG_000483,80271DB90,address,"7005 Jane Pike Suite 498, South Desiree, MN 77529","463 Gomez Ways, Tommyfort, FM 79696",EMP_0007,2022-09-08 21:40:24
CHG_000279,8120229E0,beneficial_owner,on,plant,EMP_0122,2022-09-08 22:36:53
CHG_000327,806B3DB00,beneficial_owner,media,off,EMP_0188,2022-09-08 23:06:18
CHG_000393,806515CF0,phone,609.282.1506,+1-901-400-1676x184,EMP_0116,2022-09-09 00:14:44
CHG_000243,804E90950,tax_id,increase,his,EMP_0069,2022-09-09 00:18:32
CHG_090003,800056A50,risk_rating,high,low,EMP_0013,2022-09-09 00:38:24
CHG_000379,806F692F0,risk_rating,low,low,EMP_0022,2022-09-09 02:08:55
CHG_000253,804752C40,address,"6798 Michael Burg Suite 146, North Marieberg, MI 41381","757 Samuel Square, Floresport, AZ 93664",EMP_0066,2022-09-09 02:25:41
CHG_000287,813CA61C0,account_type,author,address,EMP_0194,2022-09-09 02:38:36
CHG_000162,80EFBA910,beneficial_owner,nor,single,EMP_0030,2022-09-09 04:27:31
CHG_000189,80B773700,risk_rating,low,medium,EMP_0143,2022-09-09 04:50:48
CHG_000147,80F4E70B0,wire_transfer_limit,44215,10581,EMP_0188,2022-09-09 05:16:09
CHG_000190,80B9C0D40,beneficial_owner,race,kitchen,EMP_0143,2022-09-09 05:22:26
CHG_000324,805314C00,email,ramirezderrick@example.org,crystalpham@example.org,EMP_0011,2022-09-09 06:00:11
CHG_000338,8042CDCE0,address,"85156 Matthew Islands, East Jessica, NE 84290","USNV Thompson, FPO AP 91407",EMP_0028,2022-09-09 06:01:51
CHG_000126,80F178D30,name,father,miss,EMP_0149,2022-09-09 06:46:25
CHG_000433,81211F1D0,account_type,career,body,EMP_0158,2022-09-09 07:53:48
CHG_000032,8018CD260,email,hhill@example.com,batesdarlene@example.net,EMP_0193,2022-09-09 08:35:32
CHG_000048,800F30520,phone,001-304-794-5198x3273,+1-251-649-3689,EMP_0043,2022-09-09 08:54:29
CHG_000231,80E0EE0B0,phone,8479541212,+1-388-761-0158,EMP_0170,2022-09-09 09:00:26
CHG_000334,80ADF8B40,name,score,school,EMP_0175,2022-09-09 11:00:00
CHG_000459,8004473E0,tax_id,building,course,EMP_0118,2022-09-09 11:01:55
CHG_000001,81055CF40,phone,374-264-8877,(959)940-1399x04902,EMP_0028,2022-09-09 11:04:39
CHG_000250,803A7F390,address,"43426 Jones Rapid Suite 968, Stephensstad, UT 70874","35290 Rasmussen Isle, Rodriguezville, KS 29599",EMP_0108,2022-09-09 11:50:09
CHG_000318,80526DAB0,phone,524-790-3521,(980)344-2067x8831,EMP_0041,2022-09-09 11:58:01
CHG_000143,802C439B0,tax_id,loss,church,EMP_0119,2022-09-09 12:27:29
CHG_000144,8083881A0,phone,925.695.2694x95888,505.251.6940x9749,EMP_0094,2022-09-09 12:53:03
CHG_000213,8039FEDD0,tax_id,discover,mouth,EMP_0105,2022-09-09 14:32:42
CHG_000204,800B3A9C0,spending_limit,19743,13762,EMP_0154,2022-09-09 16:18:12
CHG_000363,8132E8690,tax_id,believe,feel,EMP_0142,2022-09-09 16:35:55
CHG_000165,802C8CF10,email,robertmonroe@example.org,lfrench@example.net,EMP_0162,2022-09-09 17:09:29
CHG_000440,80B94E9F0,risk_rating,high,low,EMP_0100,2022-09-09 18:34:46
CHG_000221,8088B0390,beneficial_owner,scientist,Congress,EMP_0091,2022-09-09 18:44:01
CHG_000150,80DE85570,address,"130 Edwards Drive, Vaughnchester, NY 80648","PSC 0283, Box 8578, APO AA 41625",EMP_0053,2022-09-09 19:17:49
CHG_000439,8124DC080,address,"USCGC Craig, FPO AP 37978","81062 Ellen Flats Suite 244, Port Bryan, WY 39185",EMP_0063,2022-09-09 19:37:50
CHG_000089,814065D31,name,possible,head,EMP_0048,2022-09-09 20:24:26
CHG_000267,80F903660,beneficial_owner,act,memory,EMP_0151,2022-09-09 20:32:30
CHG_000068,810D1B3D0,spending_limit,19738,28681,EMP_0004,2022-09-09 21:16:25
CHG_000336,802486E50,beneficial_owner,out,organization,EMP_0025,2022-09-09 21:27:56
CHG_000273,8100A2E80,address,"94667 Cynthia Trafficway Apt. 684, Shawnfort, MD 76779","751 Robinson Meadow, South Joseph, MP 37672",EMP_0102,2022-09-09 21:47:05
CHG_000026,80EA87680,address,"37098 Herman Forges Apt. 746, East Brandonton, ME 65070","267 Santiago Summit, Matthewsberg, FM 54880",EMP_0174,2022-09-09 22:07:32
CHG_000403,80A0D5F60,beneficial_owner,pretty,executive,EMP_0153,2022-09-10 00:52:36
CHG_000419,80167DDD0,wire_transfer_limit,11357,21807,EMP_0143,2022-09-10 01:26:53
CHG_000282,80D4C5E10,wire_transfer_limit,29506,35305,EMP_0164,2022-09-10 01:47:02
CHG_000286,805EFD340,spending_limit,9932,23536,EMP_0121,2022-09-10 02:19:13
