transaction_id,timestamp,from_bank,from_account,to_bank,to_account,amount_paid,payment_currency,payment_format,is_laundering
TXN_0002198,2022/09/01 00:11,2843,800489210,2843,800489210,49616.23,US Dollar,Reinvestment,0
TXN_0002199,2022/09/01 00:26,2843,800489210,2843,800489210,10.12,US Dollar,Reinvestment,0
TXN_0002420,2022/09/01 00:16,220,8004C74E0,220,8004C74E0,1114.79,US Dollar,Reinvestment,0
TXN_0002444,2022/09/01 00:15,220,8004C74E0,220,8004C74E0,11.72,US Dollar,Reinvestment,0
TXN_0002750,2022/09/01 00:17,10,800058920,1,800559860,2693.29,US Dollar,Cheque,0
TXN_0002751,2022/09/01 00:18,10,800058920,1,800559860,4989.89,US Dollar,Credit Card,0
TXN_0002752,2022/09/01 00:20,10,800058920,1,800559860,451.33,US Dollar,ACH,0
TXN_0003016,2022/09/01 00:16,3619,8005A18F0,3619,8005A18F0,63.26,US Dollar,Reinvestment,0
TXN_0003249,2022/09/01 00:07,1,800057D40,795,8005F5810,420.66,US Dollar,Cheque,0
TXN_0003250,2022/09/01 00:02,1,800057D40,795,8005F5810,793.66,US Dollar,Credit Card,0
TXN_0003304,2022/09/01 00:28,1,800056CB0,1674,800618D90,4792.07,US Dollar,Cheque,0
TXN_0003305,2022/09/01 00:23,1,800056CB0,1674,800618D90,15532.45,US Dollar,Credit Card,0
TXN_0003306,2022/09/01 00:24,1,800056CB0,1674,800618D90,2608.03,US Dollar,Cash,0
TXN_0003307,2022/09/01 00:02,1,800056CB0,1674,800618D90,130.83,US Dollar,ACH,0
TXN_0003308,2022/09/01 00:08,1,800056CB0,1674,800618D90,593.26,US Dollar,Wire,0
TXN_0003322,2022/09/01 00:22,12,800619E80,12,800619E80,1531.51,US Dollar,Reinvestment,0
TXN_0003329,2022/09/01 00:24,12,800619E80,12,800619E80,22.07,US Dollar,Reinvestment,0
TXN_0003395,2022/09/01 00:23,10,8000588D0,1,800629A20,9372.23,US Dollar,Cheque,0
TXN_0003396,2022/09/01 00:24,10,8000588D0,1,800629A20,2949.85,US Dollar,Cash,0
TXN_0003397,2022/09/01 00:05,10,8000588D0,1,800629A20,1992.25,US Dollar,ACH,0
TXN_0003440,2022/09/01 00:19,10,8000588D0,1420,80064AB30,2814517.39,US Dollar,Cheque,0
TXN_0003441,2022/09/01 00:20,10,8000588D0,1420,80064AB30,6400129.76,US Dollar,Cash,0
TXN_0003442,2022/09/01 00:28,10,8000588D0,1420,80064AB30,3169782.67,US Dollar,ACH,0
TXN_0003532,2022/09/01 00:01,1,80005B9B0,1362,80066D000,67279.35,US Dollar,Cheque,0
TXN_0004117,2022/09/01 00:00,11157,8006E2E40,11157,8006E2E40,19.68,US Dollar,Reinvestment,0
TXN_0004811,2022/09/01 00:02,10,800059840,1068,800837E10,223750.62,US Dollar,Cheque,0
TXN_0004812,2022/09/01 00:29,10,800059840,1068,800837E10,2362.92,US Dollar,Credit Card,0
TXN_0004813,2022/09/01 00:02,10,800059840,1068,800837E10,86014.99,US Dollar,Cash,0
TXN_0006460,2022/09/01 00:18,31924,800B28B60,31924,800B28B60,4685.16,US Dollar,Reinvestment,0
TXN_0006466,2022/09/01 00:26,1,800B255B0,29317,812183900,6.59,US Dollar,Credit Card,0
TXN_0006468,2022/09/01 00:02,220,800B26C90,29317,812183900,37.15,US Dollar,Credit Card,0
TXN_0006608,2022/09/01 00:06,11107,800BBD220,11107,800BBD220,47078.41,US Dollar,Reinvestment,0
TXN_0006609,2022/09/01 00:10,11107,800BBD220,11107,800BBD220,16.8,US Dollar,Reinvestment,0
TXN_0006783,2022/09/01 00:09,3727,800BED3C0,3727,800BED3C0,9676.56,US Dollar,Reinvestment,0
TXN_0007311,2022/09/01 00:17,10,800058100,21575,800CB0760,37931.72,US Dollar,Cheque,0
TXN_0007312,2022/09/01 00:00,10,800058100,21575,800CB0760,4441.51,US Dollar,Cash,0
TXN_0007561,2022/09/01 00:26,3437,800CE8340,3437,800CE8340,3337.87,US Dollar,Reinvestment,0
TXN_0007682,2022/09/01 00:28,1412,800CD6CA0,513,80252EF80,95.25,US Dollar,Credit Card,0
TXN_0007759,2022/09/01 00:25,1,800D36B20,1,800D36B20,12973.15,US Dollar,Reinvestment,0
TXN_0007814,2022/09/01 00:04,32304,800D43A90,32304,800D43A90,575.64,US Dollar,Reinvestment,0
TXN_0007910,2022/09/01 00:06,10,80005ADE0,1362,800D996E0,4388.93,US Dollar,Cheque,0
TXN_0007911,2022/09/01 00:08,10,80005ADE0,1362,800D996E0,2511.16,US Dollar,Credit Card,0
TXN_0007912,2022/09/01 00:26,10,80005ADE0,1362,800D996E0,7613.94,US Dollar,Cash,0
TXN_0007913,2022/09/01 00:05,10,80005ADE0,1362,800D996E0,884.52,US Dollar,ACH,0
TXN_0007968,2022/09/01 00:23,10,800059F50,1853,800DB45D0,625.22,US Dollar,Cheque,0
TXN_0007969,2022/09/01 00:09,10,800059F50,1853,800DB45D0,141.62,US Dollar,Credit Card,0
TXN_0007970,2022/09/01 00:14,10,800059F50,1853,800DB45D0,28.25,US Dollar,ACH,0
TXN_0008150,2022/09/01 00:14,1,800056370,908,800DDCCE0,248322.33,US Dollar,Cash,0
TXN_0008151,2022/09/01 00:15,1,800056370,908,800DDCCE0,493385.75,US Dollar,ACH,0
TXN_0008630,2022/09/01 00:02,1729,800EE2180,1729,800EE2180,64533.95,US Dollar,Reinvestment,0
TXN_0008631,2022/09/01 00:11,1729,800EE2180,1729,800EE2180,8.58,US Dollar,Reinvestment,0
TXN_0008775,2022/09/01 00:21,32609,800F1DB80,32609,800F1DB80,14020.33,US Dollar,Reinvestment,0
TXN_0008845,2022/09/01 00:16,1688,800F30520,1688,800F30520,1180.79,US Dollar,Reinvestment,0
TXN_0008879,2022/09/01 00:01,32584,800F02FB0,32584,800F02FB0,40448.25,US Dollar,Reinvestment,0
TXN_0008989,2022/09/01 00:06,10,800059F50,11474,800F63960,241350.29,US Dollar,Cheque,0
TXN_0010150,2022/09/01 00:02,1412,80116AFF0,1412,80116AFF0,1109185.83,US Dollar,Reinvestment,0
TXN_0010151,2022/09/01 00:01,1,8006BB110,1412,80116AFF0,8861.71,US Dollar,Cheque,0
TXN_0010152,2022/09/01 00:27,1,8006BB110,1412,80116AFF0,9370.81,US Dollar,Credit Card,0
TXN_0010153,2022/09/01 00:17,1412,80116AFF0,1412,80116AFF0,22.53,US Dollar,Reinvestment,0
TXN_0010488,2022/09/01 00:07,1601,800793180,1601,800793180,4357.12,US Dollar,Reinvestment,0
TXN_0010548,2022/09/01 00:28,11471,800B620B0,22345,8011E9C40,13172.18,US Dollar,Cheque,0
TXN_0010549,2022/09/01 00:27,11471,800B620B0,22345,8011E9C40,11922.81,US Dollar,Cash,0
TXN_0010575,2022/09/01 00:27,1,8011F1250,1,8011F1250,8843.33,US Dollar,Reinvestment,0
TXN_0010958,2022/09/01 00:23,11974,801294D10,11974,801294D10,21951.88,US Dollar,Reinvestment,0
TXN_0010959,2022/09/01 00:09,11974,801294D10,11974,801294D10,4.39,US Dollar,Reinvestment,0
TXN_0011835,2022/09/01 00:13,22164,8013E0D50,22164,8013E0D50,426.9,US Dollar,Reinvestment,0
TXN_0011847,2022/09/01 00:17,2385,8013E5FB0,2385,8013E5FB0,1188.83,US Dollar,Reinvestment,0
TXN_0012105,2022/09/01 00:08,10,80005CB50,11405,8014612E0,2330.31,US Dollar,Cheque,0
TXN_0012106,2022/09/01 00:06,10,80005CB50,11405,8014612E0,3807.68,US Dollar,Credit Card,0
TXN_0012355,2022/09/01 00:06,33244,8015216E0,33244,8015216E0,2263.7,US Dollar,Reinvestment,0
TXN_0012840,2022/09/01 00:03,1601,800793180,22828,801623AD0,34248.42,US Dollar,Cheque,0
TXN_0012841,2022/09/01 00:22,1601,800793180,22828,801623AD0,34136.82,US Dollar,Cash,0
TXN_0012842,2022/09/01 00:26,1601,800793180,22828,801623AD0,55534.56,US Dollar,Wire,0
TXN_0013059,2022/09/01 00:21,32488,801621350,1665,80164F8A0,0.01,US Dollar,ACH,0
TXN_0013193,2022/09/01 00:27,1,800056CB0,12719,8016CC350,12939.04,US Dollar,Cheque,0
TXN_0013194,2022/09/01 00:08,1,800056CB0,12719,8016CC350,2206.31,US Dollar,Credit Card,0
TXN_0013195,2022/09/01 00:05,1,800056CB0,12719,8016CC350,1320.18,US Dollar,ACH,0
TXN_0013237,2022/09/01 00:04,2991,8016D8110,2991,8016D8110,2468.47,US Dollar,Reinvestment,0
TXN_0013249,2022/09/01 00:02,12381,8016DF190,12381,8016DF190,75470.58,US Dollar,Reinvestment,0
TXN_0013715,2022/09/01 00:19,220,801772420,220,801772420,18.35,US Dollar,Reinvestment,0
TXN_0013848,2022/09/01 00:22,23537,80179F360,16788,80DA515B0,9.29,US Dollar,Credit Card,0
TXN_0013938,2022/09/01 00:18,1588,8017C71A0,1588,8017C71A0,513959.29,US Dollar,Reinvestment,0
TXN_0014240,2022/09/01 00:19,1124,801857EB0,1124,801857EB0,205641.62,US Dollar,Reinvestment,0
TXN_0014241,2022/09/01 00:08,1124,801857EB0,1124,801857EB0,7.27,US Dollar,Reinvestment,0
TXN_0014657,2022/09/01 00:21,1588,80192BFB0,213704,80AE2D530,8.22,US Dollar,Credit Card,0
TXN_0014927,2022/09/01 00:26,12735,801986330,12735,801986330,296892.87,US Dollar,Reinvestment,0
TXN_0015602,2022/09/01 00:08,2845,801A19640,2845,801A19640,151.18,US Dollar,Reinvestment,0
TXN_0016108,2022/09/01 00:21,10,800059F50,1411,801B8EBB0,26858.02,US Dollar,Credit Card,0
TXN_0016109,2022/09/01 00:06,10,800059F50,1411,801B8EBB0,288176.5,US Dollar,Wire,0
TXN_0017888,2022/09/01 00:12,12,800056E00,4503,801C9D3E0,115221.86,US Dollar,Cheque,0
TXN_0017889,2022/09/01 00:02,12,800056E00,4503,801C9D3E0,20730.01,US Dollar,Credit Card,0
TXN_0017890,2022/09/01 00:03,12,800056E00,4503,801C9D3E0,92442.72,US Dollar,Cash,0
TXN_0017891,2022/09/01 00:16,12,800056E00,4503,801C9D3E0,9087.15,US Dollar,ACH,0
TXN_0017892,2022/09/01 00:18,12,800056E00,4503,801C9D3E0,12657.06,US Dollar,Wire,0
TXN_0018366,2022/09/01 00:06,34453,802204500,23885,8021FFD30,1186.15,US Dollar,ACH,0
TXN_0018501,2022/09/01 00:17,25637,80224CAA0,25637,80224CAA0,20.86,US Dollar,Reinvestment,0
TXN_0018619,2022/09/01 00:00,4242,80227A210,4242,80227A210,7.16,US Dollar,Reinvestment,0
TXN_0018683,2022/09/01 00:02,35822,80226A860,35822,80226A860,19341.67,US Dollar,Reinvestment,0
TXN_0018685,2022/09/01 00:10,14549,80226C4C0,14549,80226C4C0,15537.84,US Dollar,Reinvestment,0
TXN_0019267,2022/09/01 00:00,12,8023ED8B0,12,8023ED8B0,741.21,US Dollar,Reinvestment,0
TXN_0019324,2022/09/01 00:09,1729,80164B550,22164,8023FBD80,80224.74,US Dollar,Cheque,0
TXN_0019325,2022/09/01 00:11,1729,80164B550,22164,8023FBD80,25726.47,US Dollar,Credit Card,0
TXN_0019326,2022/09/01 00:23,1729,80164B550,22164,8023FBD80,63382.19,US Dollar,ACH,0
TXN_0019327,2022/09/01 00:18,1729,80164B550,22164,8023FBD80,106408.9,US Dollar,Wire,0
TXN_0020202,2022/09/01 00:19,70,100428660,513,80252EF80,11373.85,US Dollar,Cheque,0
TXN_0020203,2022/09/01 00:27,70,100428660,513,80252EF80,13389.8,US Dollar,Credit Card,0
TXN_0020204,2022/09/01 00:13,70,100428660,513,80252EF80,18360.92,US Dollar,Cash,0
TXN_0020272,2022/09/01 00:24,23885,80254F920,4403,80254FA60,543475.0,US Dollar,ACH,0
TXN_0020286,2022/09/01 00:23,6010,80254A380,6010,80254A380,2179.97,US Dollar,Reinvestment,0
TXN_0020294,2022/09/01 00:10,6010,80254A380,6010,80254A380,13.15,US Dollar,Reinvestment,0
TXN_0020812,2022/09/01 00:23,3051,8015CCAC0,11296,802742B50,1847.37,US Dollar,Cheque,0
TXN_0020813,2022/09/01 00:07,3051,8015CCAC0,11296,802742B50,139.52,US Dollar,Credit Card,0
TXN_0022446,2022/09/01 00:01,1047,802B59400,1047,802B59400,18.81,US Dollar,Reinvestment,0
TXN_0022627,2022/09/01 00:10,27444,802B8DF60,27444,802B8DF60,3.89,US Dollar,Reinvestment,0
TXN_0022810,2022/09/01 00:20,27444,802BCFE40,15916,802E66C40,44.54,US Dollar,Credit Card,0
TXN_0023055,2022/09/01 00:04,31461,802C383E0,11974,802C38840,2746.86,US Dollar,Cheque,0
TXN_0023162,2022/09/01 00:21,1,802C54340,1,802C54340,430.81,US Dollar,Reinvestment,0
TXN_0023260,2022/09/01 00:04,14549,802C48E80,14549,802C48E80,14.62,US Dollar,Reinvestment,0
TXN_0023464,2022/09/01 00:04,2991,802CCE400,8623,8042552D0,25.26,US Dollar,Credit Card,0
TXN_0023602,2022/09/01 00:22,16788,802D53880,16788,802D53880,258.94,US Dollar,Reinvestment,0
TXN_0024597,2022/09/01 00:09,16163,802FB2C20,16163,802FB2C20,10538.08,US Dollar,Reinvestment,0
TXN_0024654,2022/09/01 00:13,1686,802FA7310,1686,802FA7310,5047.05,US Dollar,Reinvestment,0
TXN_0024920,2022/09/01 00:11,10,80005CF10,6803,8030CD8B0,13096.18,US Dollar,Cheque,0
TXN_0024921,2022/09/01 00:07,10,80005CF10,6803,8030CD8B0,9354.34,US Dollar,Credit Card,0
TXN_0024922,2022/09/01 00:26,10,80005CF10,6803,8030CD8B0,36421.68,US Dollar,ACH,0
TXN_0025348,2022/09/01 00:03,21611,803193DC0,21611,803193DC0,14.18,US Dollar,Reinvestment,0
TXN_0025644,2022/09/01 00:12,31199,8032437B0,11318,803247FE0,1158.6,US Dollar,ACH,0
TXN_0026103,2022/09/01 00:11,1688,8032FD420,1688,8032FD420,8301.55,US Dollar,Reinvestment,0
TXN_0026104,2022/09/01 00:05,1068,80144E480,1688,8032FD420,1078.76,US Dollar,Cheque,0
TXN_0026105,2022/09/01 00:26,1068,80144E480,1688,8032FD420,3125.89,US Dollar,Credit Card,0
TXN_0026195,2022/09/01 00:00,34189,80330E030,34189,80330E030,30930.11,US Dollar,Reinvestment,0
TXN_0026198,2022/09/01 00:27,1467,802E1C5F0,18549,80330EE20,1049.95,US Dollar,Cheque,0
TXN_0026199,2022/09/01 00:25,1467,802E1C5F0,18549,80330EE20,2098.86,US Dollar,Cash,0
TXN_0026200,2022/09/01 00:12,1467,802E1C5F0,18549,80330EE20,1978.37,US Dollar,ACH,0
TXN_0026294,2022/09/01 00:11,13037,80330D740,13037,80330D740,28193.23,US Dollar,Reinvestment,0
TXN_0026333,2022/09/01 00:21,13037,80330D740,13037,80330D740,11.57,US Dollar,Reinvestment,0
TXN_0026518,2022/09/01 00:18,3698,80338A4A0,3698,80338A4A0,6.33,US Dollar,Reinvestment,0
TXN_0026951,2022/09/01 00:28,2627,80195D590,2843,80345B9D0,3116.48,US Dollar,Cheque,0
TXN_0026952,2022/09/01 00:04,2627,80195D590,2843,80345B9D0,21162.83,US Dollar,Credit Card,0
TXN_0026953,2022/09/01 00:06,2843,80345B9D0,2843,80345B9D0,7.34,US Dollar,Reinvestment,0
TXN_0027666,2022/09/01 00:16,4866,80352A280,4866,80352A280,71699.23,US Dollar,Reinvestment,0
TXN_0027998,2022/09/01 00:11,3242,80359D740,3242,80359D740,408.21,US Dollar,Reinvestment,0
TXN_0028329,2022/09/01 00:11,2843,8036FA980,2843,8036FA980,8.97,US Dollar,Reinvestment,0
TXN_0028360,2022/09/01 00:14,11471,800BFE950,28827,80371B600,6699.21,US Dollar,Cheque,0
TXN_0028361,2022/09/01 00:04,11471,800BFE950,28827,80371B600,4626.33,US Dollar,ACH,0
TXN_0028362,2022/09/01 00:26,28827,80371B600,28827,80371B600,3.47,US Dollar,Reinvestment,0
TXN_0028450,2022/09/01 00:28,12,80373DB80,12,80373DB80,13.58,US Dollar,Reinvestment,0
TXN_0028562,2022/09/01 00:03,1,80066ADC0,16163,80376F850,783125.84,US Dollar,Cheque,0
TXN_0028563,2022/09/01 00:04,1,80066ADC0,16163,80376F850,25273.73,US Dollar,Credit Card,0
TXN_0028564,2022/09/01 00:17,1,80066ADC0,16163,80376F850,183405.03,US Dollar,ACH,0
TXN_0028598,2022/09/01 00:24,1457,800F54050,17222,803782210,1054.05,US Dollar,Cheque,0
TXN_0028599,2022/09/01 00:00,1457,800F54050,17222,803782210,4067.51,US Dollar,ACH,0
TXN_0028600,2022/09/01 00:09,14077,803474B30,17222,803782210,46.63,US Dollar,Cheque,0
TXN_0028601,2022/09/01 00:19,14077,803474B30,17222,803782210,65.44,US Dollar,Credit Card,0
TXN_0028602,2022/09/01 00:24,14077,803474B30,17222,803782210,3.6,US Dollar,Cash,0
TXN_0028603,2022/09/01 00:06,14077,803474B30,17222,803782210,0.55,US Dollar,ACH,0
TXN_0028604,2022/09/01 00:12,14077,803474B30,17222,803782210,2.88,US Dollar,Wire,0
TXN_0028689,2022/09/01 00:07,2952,803771ED0,2952,803771ED0,38726.47,US Dollar,Reinvestment,0
TXN_0028875,2022/09/01 00:24,24132,80371D940,24132,80371D940,1037.2,US Dollar,Reinvestment,0
TXN_0029146,2022/09/01 00:23,21611,80396EF00,21611,80396EF00,4924.88,US Dollar,Reinvestment,0
TXN_0029151,2022/09/01 00:27,21611,80396EF00,21611,80396EF00,17.43,US Dollar,Reinvestment,0
TXN_0029330,2022/09/01 00:16,16031,803A32400,16031,803A32400,15650.71,US Dollar,Reinvestment,0
TXN_0029514,2022/09/01 00:18,1674,800EFEC70,1420,803AC7250,16299.97,US Dollar,Credit Card,0
TXN_0029515,2022/09/01 00:10,1674,800EFEC70,1420,803AC7250,15672.8,US Dollar,ACH,0
TXN_0030106,2022/09/01 00:29,37612,803C83BD0,701,803C84C10,14024.47,US Dollar,ACH,0
TXN_0030149,2022/09/01 00:19,11107,803C907F0,11107,803C907F0,5.91,US Dollar,Reinvestment,0
TXN_0030336,2022/09/01 00:08,3229,803CABBA0,3229,803CABBA0,65171.36,US Dollar,Reinvestment,0
TXN_0030632,2022/09/01 00:11,3051,803D69350,3051,803D69350,16.11,US Dollar,Reinvestment,0
TXN_0030935,2022/09/01 00:14,16163,803E419B0,16163,803E419B0,6.27,US Dollar,Reinvestment,0
TXN_0031448,2022/09/01 00:23,13145,804025CB0,13145,804025CB0,643.11,US Dollar,Reinvestment,0
TXN_0031811,2022/09/01 00:26,3229,8041C1790,218438,807EA86C0,139.15,US Dollar,Credit Card,0
TXN_0031892,2022/09/01 00:29,28694,8041E8A10,28694,8041E8A10,3043.69,US Dollar,Reinvestment,0
TXN_0032454,2022/09/01 00:20,31722,80426EF50,31722,80426EF50,13678.83,US Dollar,Reinvestment,0
TXN_0032611,2022/09/01 00:11,311451,80436F220,311451,80436F220,3436.26,US Dollar,Reinvestment,0
TXN_0032887,2022/09/01 00:02,1457,8043F4E40,1457,8043F4E40,294423.66,US Dollar,Reinvestment,0
TXN_0032888,2022/09/01 00:17,1457,8043F4E40,1457,8043F4E40,16.97,US Dollar,Reinvestment,0
TXN_0033668,2022/09/01 00:19,5394,804752C40,5394,804752C40,363916.33,US Dollar,Reinvestment,0
TXN_0033773,2022/09/01 00:18,21258,800082630,21258,800082630,1382745.16,US Dollar,Reinvestment,0
TXN_0034339,2022/09/01 00:15,23833,80493D3F0,23833,80493D3F0,170342.56,US Dollar,Reinvestment,0
TXN_0034383,2022/09/01 00:11,22736,80494B350,22736,80494B350,5.8,US Dollar,Reinvestment,0
TXN_0034955,2022/09/01 00:09,23,800068890,23,800068890,32203.7,Euro,ACH,0
TXN_0034956,2022/09/01 00:09,23,800068890,19535,804C9D0D0,37735.77,US Dollar,Cheque,0
TXN_0034957,2022/09/01 00:29,23,800068890,23,800068890,45959.14,Euro,ACH,0
TXN_0034958,2022/09/01 00:29,23,800068890,19535,804C9D0D0,53854.16,US Dollar,ACH,0
TXN_0035344,2022/09/01 00:18,18015,804DE7670,18015,804DE7670,119.53,US Dollar,Reinvestment,0
TXN_0035346,2022/09/01 00:24,18015,804DE7670,18015,804DE7670,8.88,US Dollar,Reinvestment,0
TXN_0035360,2022/09/01 00:18,220,801772420,111443,804DEAB70,724163.08,US Dollar,Cheque,0
TXN_0035361,2022/09/01 00:10,220,801772420,111443,804DEAB70,2298.02,US Dollar,Credit Card,0
TXN_0035362,2022/09/01 00:04,220,801772420,111443,804DEAB70,3643019.69,US Dollar,Cash,0
TXN_0035363,2022/09/01 00:09,220,801772420,111443,804DEAB70,1907790.9,US Dollar,ACH,0
