customer_id,name,country,account_ids,risk_rating
800D11090,Benjamin Sanchez,Finland,800D11090,Medium
800D36B20,Roy Warner,New Zealand,800D36B20,Low
800D43A90,Dr. Kendra Contreras,Micronesia,800D43A90,Low
800D46C20,Matthew Mcmillan,Burkina Faso,800D46C20,Low
800D6DD70,Steve Newton,Cape Verde,800D6DD70,Medium
800D83A40,Larry Robbins,Costa Rica,800D83A40,Low
800DDED10,Sarah Wagner,El Salvador,800DDED10,Low
800E4DA90,Sarah Davis,Jamaica,800E4DA90,Low
800E84250,Amanda Cook,Bulgaria,800E84250,Low
800EE2180,Deborah Figueroa,Micronesia,800EE2180,Low
800F1DB80,Kristina Rodriguez,Western Sahara,800F1DB80,Low
800F30520,Stephanie Gardner,Syrian Arab Republic,800F30520,Medium
80104C6F0,Juan Jordan,Armenia,80104C6F0,Low
8010BB6E0,Steven Flynn,Tokelau,8010BB6E0,Low
8011D2BD0,Hunter Fleming,Papua New Guinea,8011D2BD0,High
8011F1250,Richard Henson,Ireland,8011F1250,Low
8011F9E60,Nicole Frost,Dominica,8011F9E60,Low
8012010B0,Vanessa Cochran,Turkmenistan,8012010B0,Low
80120A710,Christopher Middleton,Slovenia,80120A710,Low
80124DA90,Rebekah Shields,Sudan,80124DA90,Low
801294D10,Christopher Haynes,Hong Kong,801294D10,Medium
8013E5FB0,Shannon Walker,Svalbard & Jan Mayen Islands,8013E5FB0,Low
801461050,Hannah Hoover,Tunisia,801461050,Low
8014D45A0,Alexander Lee,Greenland,8014D45A0,Low
8014FC550,Benjamin Ayala,Guernsey,8014FC550,High
8015216E0,Jennifer Zavala,Mauritania,8015216E0,Low
801535A60,Alexander Wiley,Eritrea,801535A60,High
8015E88E0,Victor Baker,Botswana,8015E88E0,Medium
80167DDD0,Haley Hartman,Jordan,80167DDD0,Low
8016D8110,Kayla Cruz,Morocco,8016D8110,Low
801772420,Andrew Graham,Mali,801772420,Low
80177CEB0,Kimberly Ball,Saint Vincent and the Grenadines,80177CEB0,Low
80179F360,Christina Reynolds,Yemen,80179F360,Low
8017BE720,Erin Edwards,Thailand,8017BE720,Low
8017C71A0,Steven Hunter,Papua New Guinea,8017C71A0,Low
8018204F0,James Phillips,Brunei Darussalam,8018204F0,Low
8018238B0,Maurice Gray,San Marino,8018238B0,Low
8018CD260,Lisa Turner,Mexico,8018CD260,High
80192FEF0,Elizabeth Clark,Solomon Islands,80192FEF0,Medium
8019739C0,Mary Marshall,Kenya,8019739C0,Low
801986330,Kayla Leon,South Africa,801986330,Low
8019D53B0,Mary Campbell,Panama,8019D53B0,Low
8019FFC80,Frances Cardenas,Sao Tome and Principe,8019FFC80,Medium
801A19640,Eric Drake,Cameroon,801A19640,Medium
801B565E0,David Alvarez,Thailand,801B565E0,Low
801B850B0,Joy Mercado,Morocco,801B850B0,Low
801BEED90,Michael Snyder,Ecuador,801BEED90,Low
801C04D80,Michael Stafford,Tokelau,801C04D80,Low
801C0FB60,Ashley Coleman,Christmas Island,801C0FB60,Medium
801C98AE0,Melissa Marshall,Moldova,801C98AE0,Low
801CBAF20,Ryan Bryant,Spain,801CBAF20,Medium
801D03210,Joseph Hansen,Ghana,801D03210,Low
801DD5140,Stephanie Salazar,Saint Helena,801DD5140,Low
801DFB5B0,Jessica Meadows,Kiribati,801DFB5B0,Low
801E6A920,Natasha Wells,Eritrea,801E6A920,Low
801EC0260,Sara Ramirez,Slovakia (Slovak Republic),801EC0260,Medium
801ED4980,Lori Hill,Belarus,801ED4980,Medium
801F2E1A0,Cynthia Rogers,Uganda,801F2E1A0,Medium
801F69530,Brenda Hall,Puerto Rico,801F69530,Low
802119C10,Daniel Perry,Greenland,802119C10,Low
802184880,Jennifer Clark,Italy,802184880,Medium
8021FFD30,Randy Shah,Angola,8021FFD30,Medium
802213DF0,Pamela James,Albania,802213DF0,Low
802222410,Elizabeth Price,Uganda,802222410,Low
80224CAA0,Jennifer Adkins,Mayotte,80224CAA0,Low
80226A860,Stephanie Freeman,Faroe Islands,80226A860,Medium
80226C4C0,Allen Rogers,Philippines,80226C4C0,Medium
8023ED8B0,Misty Pittman,Uruguay,8023ED8B0,Low
80247BB70,Marcus Johnson,India,80247BB70,Low
802486E50,Mary Miller,Japan,802486E50,Low
8025239F0,Joel Williams,Hong Kong,8025239F0,Low
80252EF80,Jesse Rogers,Turkmenistan,80252EF80,Medium
80254A380,Paul Decker,El Salvador,80254A380,Low
802569B30,Julie Curry,Austria,802569B30,Low
8025AFB80,Mrs. Marie Harrington DDS,Saudi Arabia,8025AFB80,Low
8025BE730,David Combs,Nigeria,8025BE730,Low
8025F9120,Cameron Caldwell,Mongolia,8025F9120,Low
80265BCB0,Julie Scott,Heard Island and McDonald Islands,80265BCB0,Low
8026B3760,Lawrence Adkins,Brazil,8026B3760,High
8026ED8D0,Carla Collins,Mozambique,8026ED8D0,Low
80271DB90,Eric Byrd,Honduras,80271DB90,Low
8027F18F0,Miguel Jones,Portugal,8027F18F0,Low
802959F80,Dana Terry,Gabon,802959F80,Low
802980380,Lindsay Martinez,Mongolia,802980380,Low
802B23240,Hannah Patterson,Heard Island and McDonald Islands,802B23240,Low
802B59400,Matthew Smith,Italy,802B59400,Low
802B8DF60,Ashley Yu,North Macedonia,802B8DF60,Low
802BCFE40,Julia Hernandez,Christmas Island,802BCFE40,Low
802C439B0,Tracie Nelson,Sri Lanka,802C439B0,Low
802C54340,Patricia Marshall,Sweden,802C54340,Low
802C69C80,Debra Christian,Switzerland,802C69C80,Low
802C8CF10,Diana Hayes,Sao Tome and Principe,802C8CF10,Medium
802D1E340,Leonard Gray,Antarctica (the territory South of 60 deg S),802D1E340,Medium
802D21160,Frederick Freeman MD,Eritrea,802D21160,Low
802D76360,Spencer Haynes,Falkland Islands (Malvinas),802D76360,Low
802DC94C0,Kellie Lee,Dominican Republic,802DC94C0,Low
802EFA860,Katherine Chang,Portugal,802EFA860,Low
802FA7310,Michael West,Andorra,802FA7310,Low
802FAD250,Daniel Holt,Gambia,802FAD250,Medium
803009080,Jackie Tran,Guatemala,803009080,Low
803042E00,Patrick Rivera,Reunion,803042E00,Low
803145180,Eric Hall,Saint Helena,803145180,Medium
80315FCD0,Bryan Herrera,Serbia,80315FCD0,Medium
803165370,Cheryl Rodgers,Falkland Islands (Malvinas),803165370,Low
8031B7E50,Vanessa Warren,Finland,8031B7E50,Low
803209820,Dr. Elizabeth Ward,Gabon,803209820,Low
80323AB50,Joseph Hill,Austria,80323AB50,Low
803247FE0,Melissa Martinez,Trinidad and Tobago,803247FE0,Low
8032FD420,Ashley Smith,Finland,8032FD420,Low
80330E030,Jeremiah Lopez,Austria,80330E030,Low
80338A4A0,Scott Wilson,Bahrain,80338A4A0,High
80339F5C0,Benjamin Soto,Austria,80339F5C0,Low
80339FB50,Robert Avery,Belize,80339FB50,Low
803421B00,Bailey Duran DDS,Somalia,803421B00,Low
80345B9D0,Patricia James,United States of America,80345B9D0,Medium
80347F740,Scott Branch,Gambia,80347F740,Low
8034B3590,Amy Choi,Bolivia,8034B3590,Low
80352A280,Christine Clark,Panama,80352A280,Low
80353C7D0,David Arnold,Cayman Islands,80353C7D0,Low
803591B90,Jerry Wheeler,French Guiana,803591B90,Low
80359D740,Dwayne Campbell,Tokelau,80359D740,Low
80359FC90,Michael Bradshaw,Solomon Islands,80359FC90,Medium
8035A9A50,Leah Lara,Congo,8035A9A50,Low
80371B600,Joshua Holland,United States of America,80371B600,Medium
80373DB80,Charles Brown,Somalia,80373DB80,Low
803767D50,Paul Carroll,France,803767D50,Low
80376F850,John Torres,Iraq,80376F850,High
803771ED0,Kathryn Snyder,Belgium,803771ED0,Medium
803782210,Stacy Navarro,Netherlands,803782210,High
803864B70,Brandon Hayden,Taiwan,803864B70,Medium
80387B870,Laurie Smith,Serbia,80387B870,Medium
803946150,Debra Williams,Saudi Arabia,803946150,Low
80396EF00,Joseph Ramos,Fiji,80396EF00,Low
8039D99E0,Kevin Walters,Liechtenstein,8039D99E0,Low
8039FEDD0,Julie Ortiz,Gibraltar,8039FEDD0,Low
803A43310,Shannon Rivera,Puerto Rico,803A43310,Low
803A663B0,Matthew Morales DDS,Argentina,803A663B0,Low
803A7F390,Ernest Morris,Sierra Leone,803A7F390,High
803AC4350,Jose Travis,Palestinian Territory,803AC4350,Low
803AFBCD0,Julia Brown,Maldives,803AFBCD0,Medium
803B8C4E0,Peter Garrett,Senegal,803B8C4E0,Low
803B965F0,Derek Anderson,France,803B965F0,Low
803C84C10,Michael Martinez,Norfolk Island,803C84C10,High
803CABBA0,Cynthia Moore,Micronesia,803CABBA0,High
803CDAE00,Jason Walker,Tajikistan,803CDAE00,Low
803CE0561,Julia Wilson,Syrian Arab Republic,803CE0561,Low
803CEB180,Timothy Carter,Romania,803CEB180,Low
803D1C990,Ruben Baird,Ecuador,803D1C990,Low
803D23610,Charles Lee,Netherlands Antilles,803D23610,High
803D69350,Sherry Shields,Falkland Islands (Malvinas),803D69350,Low
803E2FA50,Sarah Morgan,Solomon Islands,803E2FA50,Low
803E419B0,Samantha Campbell,French Southern Territories,803E419B0,Low
803ECA7F0,Lauren Keller,Tonga,803ECA7F0,Low
803ED0780,Joshua Reed,Micronesia,803ED0780,Low
803F30090,Jamie Cantu,Trinidad and Tobago,803F30090,Low
804025CB0,Michael Armstrong,Djibouti,804025CB0,Medium
804033B80,Jennifer Flores,Lebanon,804033B80,Low
80403FE40,Roberta Hughes,Panama,80403FE40,High
8040D99A0,Marissa Hernandez,Argentina,8040D99A0,Low
8041C1790,Vincent Rivera,Bolivia,8041C1790,Low
8042127F0,Jessica Fox,Korea,8042127F0,Low
80426EF50,Charles Pitts,Cape Verde,80426EF50,Low
8042CDCE0,Richard Baker,Nigeria,8042CDCE0,Low
80432B8A0,Marie Christian,Timor-Leste,80432B8A0,Low
8043B1D00,Kimberly Finley,Niue,8043B1D00,Medium
804405680,Olivia Brennan,Argentina,804405680,Low
80440B4D0,Cynthia Cohen,France,80440B4D0,Low
804438E30,Nicole Hamilton MD,North Macedonia,804438E30,Low
80451BD80,Ashlee Jackson,French Southern Territories,80451BD80,Low
80455FA80,Amber Flynn,French Polynesia,80455FA80,Low
8045722E0,Jeffrey Sanchez,Isle of Man,8045722E0,Low
8045AFF90,Rebecca Jackson,Belgium,8045AFF90,Medium
80460D080,Janet Vega,Luxembourg,80460D080,Low
8046FC600,Briana Murray,Equatorial Guinea,8046FC600,Low
804752C40,Michael Nolan,Lao People's Democratic Republic,804752C40,Low
804790520,Megan Moore,Kenya,804790520,Low
80489D1B0,Victoria Evans,Jamaica,80489D1B0,Low
8049060A0,Joyce Turner,Hungary,8049060A0,Low
80493D3F0,Ashley James,Guinea-Bissau,80493D3F0,Low
8049926C0,Wendy Phillips,Switzerland,8049926C0,Medium
8049AF0E1,Denise Knight,Poland,8049AF0E1,Low
804A36990,Valerie Lozano,Samoa,804A36990,Low
804AB3D60,Tanner Mitchell DDS,New Caledonia,804AB3D60,High
804AD1260,Colleen Lee,El Salvador,804AD1260,High
804B5A690,Michelle Hopkins,Taiwan,804B5A690,Low
804B79470,Brent Burton,Armenia,804B79470,Low
804C3BDE0,Jeremiah Riley,Saint Martin,804C3BDE0,Low
804CBC400,Theodore Murphy,Israel,804CBC400,Medium
804DE7670,Carlos Ryan,Haiti,804DE7670,Medium
804E0D2F0,Susan Rivas,Equatorial Guinea,804E0D2F0,Medium
804E90950,Terry Coffey,French Polynesia,804E90950,Low
804ED4F60,Gina Wilson,Belarus,804ED4F60,Low
804F15F00,Vincent Dalton,Saint Kitts and Nevis,804F15F00,Medium
804F4CAD0,Jennifer Singleton,Moldova,804F4CAD0,Low
80502CDE0,Richard Smith,Mauritania,80502CDE0,Low
805078010,Jacob Curry,Estonia,805078010,High
8050CFE80,Samantha Bentley,Botswana,8050CFE80,Low
805125E70,Kaitlyn Harvey,Western Sahara,805125E70,Low
8051494B0,Suzanne Walker,Bahrain,8051494B0,Medium
805198DA0,Julie Haynes,Pakistan,805198DA0,Low
80526DAB0,Charles Shah,Gabon,80526DAB0,Low
8052D3220,Audrey Young DDS,Iceland,8052D3220,Medium
805314C00,Michael Paul,Yemen,805314C00,Low
8053E3C30,Laurie Barber,Turks and Caicos Islands,8053E3C30,Low
8053FA9E0,Brett Burns,Ireland,8053FA9E0,Low
805441E00,Diana Vaughn,Cuba,805441E00,Low
8054C97C0,Trevor Foley,Bolivia,8054C97C0,Low
805571620,Mrs. Stephanie Newman,Bahamas,805571620,Low
8055AFD70,Colton Martinez,Thailand,8055AFD70,Low
805624DD0,Anna Lewis,Northern Mariana Islands,805624DD0,Low
805703500,Alison Buchanan,Ecuador,805703500,Low
80570D870,Rachel Harris DVM,Micronesia,80570D870,Low
805718760,Daniel Kane,Greenland,805718760,Low
805769430,Rachel Carlson,Falkland Islands (Malvinas),805769430,Medium
805951600,Brianna Anderson,El Salvador,805951600,Medium
8059BA5E0,Ashley Delacruz,Bulgaria,8059BA5E0,Low
8059D7D00,Richard Young,Gibraltar,8059D7D00,Low
805A0CB50,Derek Martinez,Italy,805A0CB50,Low
805A0F8B0,Nichole Alvarez,Slovakia (Slovak Republic),805A0F8B0,Low
805A24290,Kevin Hayes,Cyprus,805A24290,Medium
805A9ED50,Amanda Logan,Tonga,805A9ED50,Low
805AB6580,Elizabeth Schneider,Antarctica (the territory South of 60 deg S),805AB6580,Low
805B26EA0,John Morales,Poland,805B26EA0,Low
805B8BB80,Micheal Wallace,United Arab Emirates,805B8BB80,Low
805CDA130,Lee Jones,Falkland Islands (Malvinas),805CDA130,Low
805CE7A90,Lauren Joseph,Hong Kong,805CE7A90,Low
805D34770,Kerry Chavez DDS,Bolivia,805D34770,Low
805D79140,Ashley Pena,Turkey,805D79140,Medium
805DC2520,Michelle Lewis,Korea,805DC2520,Medium
805DD0990,Jennifer Wilcox,Iran,805DD0990,Low
805DD31C0,Brandon Simmons,Papua New Guinea,805DD31C0,Medium
805EED740,Troy Mcdaniel,Lebanon,805EED740,Low
805EF3560,Ronald Davis,Bhutan,805EF3560,Low
805EFD340,Jacqueline Anderson,Bahamas,805EFD340,Low
805FA2BB1,Kristina Rivera,British Virgin Islands,805FA2BB1,Low
805FCA7D0,Shane Pugh,Jamaica,805FCA7D0,Medium
806096E10,Michelle Schmitt,Netherlands Antilles,806096E10,Medium
8060AFE50,Brian Romero,Cape Verde,8060AFE50,Medium
806110AF0,Courtney Rodriguez,Tanzania,806110AF0,Medium
806185740,Ashley Ramirez,Czech Republic,806185740,Low
80619F170,Sarah Villegas,Svalbard & Jan Mayen Islands,80619F170,Low
80623C860,Megan Hawkins,New Caledonia,80623C860,Low
8062492E0,Sandra Adams,Cocos (Keeling) Islands,8062492E0,Medium
806311B80,Phillip Dorsey,Guernsey,806311B80,Medium
8063568D0,Sergio Knight,Iran,8063568D0,Low
8064C8820,Patrick Bonilla,Bermuda,8064C8820,Low
8064ED2F0,Cindy Barnes,Guam,8064ED2F0,Low
806515CF0,Eric Nguyen,Western Sahara,806515CF0,Medium
8065F4020,Angela Williams,Cayman Islands,8065F4020,Medium
80660E630,Amber Miller,Kenya,80660E630,High
8066DBB20,Karla Ramos,Faroe Islands,8066DBB20,Medium
80676E9D0,Jose Reed,Bouvet Island (Bouvetoya),80676E9D0,Medium
806788380,Michael Tucker,Papua New Guinea,806788380,Low
8068029D0,Daniel Joyce,Azerbaijan,8068029D0,Low
80689C4D0,Eric Clark,Burundi,80689C4D0,Low
8068A3010,Donna Wilson,Luxembourg,8068A3010,Medium
80694B5F0,Casey James,Romania,80694B5F0,Medium
806966C60,Justin Barnett,Guinea,806966C60,Medium
806989F40,Scott Williams,Andorra,806989F40,Medium
8069C48B0,Blake Edwards,Japan,8069C48B0,Low
806A47240,Michelle Butler,Brazil,806A47240,Medium
806A591E0,Vincent Jackson,Yemen,806A591E0,Low
806AF7C70,Sandra Gillespie,Benin,806AF7C70,Medium
806B3DB00,Brian Graham,Iran,806B3DB00,Medium
806BC6340,Jennifer Collins,Guadeloupe,806BC6340,Low
806BFE4D0,Richard Jones,North Macedonia,806BFE4D0,Medium
806C6E560,Jordan Bullock,Guernsey,806C6E560,Low
806CDC5F0,Tyler Brewer,Cameroon,806CDC5F0,Low
806CFE720,Charles Gonzalez,Netherlands,806CFE720,Medium
806D5EF00,Peter Jones,Zambia,806D5EF00,Low
806D663F0,Kathleen Webster,Senegal,806D663F0,Low
806D79F20,Melanie Macias,Norway,806D79F20,Low
806D7D990,Lori Lin,Niue,806D7D990,Low
806D90200,Jeremiah Harrison,Norfolk Island,806D90200,Medium
806DA8BF0,Donald Brown,Madagascar,806DA8BF0,High
806E56560,Joel Johnson,Heard Island and McDonald Islands,806E56560,Low
806E77290,Angela Lin,Timor-Leste,806E77290,Low
806E8E170,Kirk Cruz,Mozambique,806E8E170,Low
806EA4730,Rebecca Huang,Korea,806EA4730,High
806ECB480,Laura Lopez,Netherlands,806ECB480,Low
806F01290,Chris Brown,Bosnia and Herzegovina,806F01290,Medium
806F2BBD0,Sara Haas,Belize,806F2BBD0,Low
806F53F90,Carrie Wright,Kazakhstan,806F53F90,High
806F692F0,Kelly Bishop MD,United States Virgin Islands,806F692F0,Low
806FD0080,Jason Morgan,Netherlands Antilles,806FD0080,High
806FE7D00,Mark Cook,Greenland,806FE7D00,Low
80711DFC0,Michael Mitchell,Saint Kitts and Nevis,80711DFC0,Low
80714C310,Tracey Morrison,Canada,80714C310,Low
8071D95E0,Kevin Thomas,Guernsey,8071D95E0,Low
80720A620,Matthew Bates,Bulgaria,80720A620,Low
807328630,Teresa Collins,Honduras,807328630,Low
80734C290,Erin Anderson,Reunion,80734C290,Low
80736E5C0,Nancy Jennings,Malta,80736E5C0,Low
807481AF0,Michael Romero,Andorra,807481AF0,Low
8075523B0,Christopher Lewis,Yemen,8075523B0,Low
8075BE8C0,Cheryl Cooke,Cape Verde,8075BE8C0,Low
80766A3D0,Ryan Garcia,Sierra Leone,80766A3D0,Low
8076D6E50,Nancy Rose,Panama,8076D6E50,Medium
80775BA70,Ralph Anderson,Honduras,80775BA70,Low
807776300,Christopher Schwartz,Nigeria,807776300,Low
80777E5C0,Carol Kim,Isle of Man,80777E5C0,Low
80779AFC0,Nathan Montes,New Zealand,80779AFC0,Low
8077F7C20,Paul Cole,Martinique,8077F7C20,Low
80790E150,Vincent Mueller,United Kingdom,80790E150,Low
8079762D0,Holly Valentine,Kazakhstan,8079762D0,Low
8079AAA10,Douglas Reyes,Marshall Islands,8079AAA10,Low
807A2A400,Christopher Gonzalez,Netherlands,807A2A400,Low
807A63060,David Davidson,Tunisia,807A63060,Medium
807A8BFF0,Timothy Dawson,Maldives,807A8BFF0,Low
807AA4750,Dominique Hines,Faroe Islands,807AA4750,Low
807ACADE0,Jose Guerra,Bermuda,807ACADE0,Low
807B0FC30,Courtney Hayes,Guernsey,807B0FC30,Low
807B1F260,Jennifer Sanders,Holy See (Vatican City State),807B1F260,Low
807C50360,Zachary Brooks,Antarctica (the territory South of 60 deg S),807C50360,Low
807C523B0,Brett Espinoza,Grenada,807C523B0,Low
807C7C430,Brenda Mitchell,Switzerland,807C7C430,Low
807C9D3A0,Ronald Blake,Latvia,807C9D3A0,Medium
807CACED0,Aaron Miller,Equatorial Guinea,807CACED0,Low
807CD0050,Chase Bentley,New Caledonia,807CD0050,Medium
807CD4050,Ashley Roberts,Gabon,807CD4050,Low
807D80E70,David Fowler,Nigeria,807D80E70,Low
807DC0D70,Brian Stein,Nepal,807DC0D70,Low
807DE2E10,Lynn Andrews,Saint Barthelemy,807DE2E10,Low
807E3B150,Jeffrey Mendez,Dominican Republic,807E3B150,Low
807E4A3D0,Chelsea Barnett,Malta,807E4A3D0,Low
807E9A5B0,Andrea Fox,Madagascar,807E9A5B0,Low
807EE8EB0,Katie Smith,Tunisia,807EE8EB0,Low
807EFA590,Mark Zavala,El Salvador,807EFA590,Low
807F59C60,Heather Jones,Dominican Republic,807F59C60,Low
807F7AF60,Lori Ingram,Saint Pierre and Miquelon,807F7AF60,Low
807FE6A50,Brandi Bell,Guadeloupe,807FE6A50,Low
808077E90,Carrie Maxwell,Kyrgyz Republic,808077E90,Medium
8080A28A0,Mrs. Catherine Taylor,Saint Barthelemy,8080A28A0,Medium
8080D49F0,Judith Carter,Aruba,8080D49F0,Low
8080D8570,Stacey Stewart,Georgia,8080D8570,Low
8080FF4A0,Virginia Daniels,El Salvador,8080FF4A0,Low
80811F3E0,Matthew Mitchell,Tokelau,80811F3E0,Low
80814F280,Sharon Rivera,British Virgin Islands,80814F280,Low
808153A70,Jessica Ross,Kazakhstan,808153A70,Medium
808176090,Jasmine Beltran,Luxembourg,808176090,Medium
8081F2B60,Holly Salinas,Ethiopia,8081F2B60,Low
80822D000,Monica Miller,Netherlands,80822D000,Low
80828DBC0,Catherine Carter MD,Greece,80828DBC0,Low
8082B1330,Elizabeth Morrison,Japan,8082B1330,Low
8083881A0,Jeremy West,Saint Lucia,8083881A0,Low
8083E41E0,Heather Bolton,Falkland Islands (Malvinas),8083E41E0,Low
8084157F0,Rebecca Brown,Paraguay,8084157F0,Medium
808444B20,Heidi Owen,Philippines,808444B20,Low
808660B60,Andre Allison,Philippines,808660B60,Low
80866A7E0,Amanda Jones,Slovakia (Slovak Republic),80866A7E0,Low
808697F70,Heidi Herring,Antigua and Barbuda,808697F70,Low
8086C8A00,Meghan Rush,Holy See (Vatican City State),8086C8A00,Low
80876B4A0,Billy Taylor,Haiti,80876B4A0,Low
80877E700,Matthew Wright,Brazil,80877E700,Low
8088317F0,Cody Holmes,United States Minor Outlying Islands,8088317F0,Low
80884F130,Deborah Green,Kiribati,80884F130,Low
80888FA00,Logan Benson,Liechtenstein,80888FA00,Medium
8088A8FF0,Chad Jones,China,8088A8FF0,Medium
8088B0390,Jill Miller,Pitcairn Islands,8088B0390,Low
8088FCA40,Victoria Contreras,Russian Federation,8088FCA40,Low
808903EC0,Joshua Vance,Thailand,808903EC0,Low
808930C40,Michael Graves,China,808930C40,High
8089A5AB0,Katie Martinez,Cook Islands,8089A5AB0,Low
8089FE4A0,Cynthia Snyder,Guyana,8089FE4A0,Low
808A826F0,Jackie Lara,Micronesia,808A826F0,Low
808AA7580,Stephen Jones,Indonesia,808AA7580,Medium
808AD9180,Dr. Kelly Hammond DVM,Barbados,808AD9180,Low
808B18F30,Evan Jones,Lao People's Democratic Republic,808B18F30,Medium
808B9ABB0,Haley Humphrey,Slovakia (Slovak Republic),808B9ABB0,Low
808BDDFF0,Laurie Saunders,Bulgaria,808BDDFF0,High
808CA0F70,Thomas Brown,British Virgin Islands,808CA0F70,Low
808D4CF90,Elizabeth Martin,Vietnam,808D4CF90,High
808D62D60,Hannah Everett,Ukraine,808D62D60,Medium
808D8FB20,Blake Gonzalez,Zimbabwe,808D8FB20,Low
808D94BD0,Beth Turner,Martinique,808D94BD0,Low
808E13B70,Martin Vargas,Mozambique,808E13B70,Low
808F06960,Matthew Le,Netherlands,808F06960,Medium
8090AC860,Thomas Williams,Tonga,8090AC860,Low
80918FEC0,Angel May,Morocco,80918FEC0,Medium
80920B580,Daniel Armstrong,Niger,80920B580,Low
80922CDA0,Kathleen Burton,French Guiana,80922CDA0,Low
8092927E0,Elizabeth Sanchez,Sri Lanka,8092927E0,Low
8092F28B0,Elizabeth Jones,Bahamas,8092F28B0,Low
809326550,Jason Marshall,Guam,809326550,Low
809334D30,Emily Higgins,Saint Martin,809334D30,Medium
